下标	所属活动组别	可以完成的次数	每日是否重置	注册（完成）活动需要的事件	完成活动条件参数	是否为兑换	完成条件 - 玩家等级需求	完成条件 - 玩家VIP等级需求	道具奖励	活动描述
Id	BelongGroupId	CanConsumeTimes	DailyReset	RegisterInnerMsg	CompleteConditionScript	IsConsume	CompletePlayerLevel	CompletePlayerVipLevel	PropsRewards	ActivityDes
int	int	int	int	string	string	int	int2	int2	arrayint2	string
1	1	1	0	Player-LEVEL_UP	5	0	0:-1	0:-1	2:18,420028:5	Activity.RaiseLv_Target1
2	1	1	0	Player-LEVEL_UP	10	0	0:-1	0:-1	2:28,420028:5,100072:2,100019:1	Activity.RaiseLv_Target2
3	1	1	0	Player-LEVEL_UP	15	0	0:-1	0:-1	2:38,420028:5,100075:2,1:5000	Activity.RaiseLv_Target3
4	1	1	0	Player-LEVEL_UP	20	0	0:-1	0:-1	2:48,420028:5,100019:1,100044:2,1:10000	Activity.RaiseLv_Target4
5	1	1	0	Player-LEVEL_UP	23	0	0:-1	0:-1	2:68,420028:5,100071:2,300040:1,1:20000	Activity.RaiseLv_Target5
6	1	1	0	Player-LEVEL_UP	25	0	0:-1	0:-1	2:88,420028:5,100074:2,300043:1,100044:2	Activity.RaiseLv_Target6
7	1	1	0	Player-LEVEL_UP	28	0	0:-1	0:-1	2:88,420028:5,100071:3,100074:3,100044:2	Activity.RaiseLv_Target7
8	1	1	0	Player-LEVEL_UP	30	0	0:-1	0:-1	2:88,100071:4,300043:1,100044:2,1:60000	Activity.RaiseLv_Target8
9	1	1	0	Player-LEVEL_UP	33	0	0:-1	0:-1	2:88,100074:4,300040:2,100044:2,1:40000	Activity.RaiseLv_Target9
10	1	1	0	Player-LEVEL_UP	36	0	0:-1	0:-1	2:88,100071:5,300043:2,100044:2,1:60000	Activity.RaiseLv_Target10
11	1	1	0	Player-LEVEL_UP	38	0	0:-1	0:-1	2:88,100074:5,300040:2,100044:2,1:100000	Activity.RaiseLv_Target11
12	1	1	0	Player-LEVEL_UP	40	0	0:-1	0:-1	2:88,100071:6,300043:2,100044:2,1:140000	Activity.RaiseLv_Target12
13	1	1	0	Player-LEVEL_UP	45	0	0:-1	0:-1	2:88,100074:6,300040:2,100044:2,1:160000	Activity.RaiseLv_Target13
14	1	1	0	Player-LEVEL_UP	50	0	0:-1	0:-1	2:188,100071:7,300043:2,100044:2,1:180000	Activity.RaiseLv_Target14
15	1	1	0	Player-LEVEL_UP	55	0	0:-1	0:-1	2:288,100074:7,300040:2,100044:2,1:250000	Activity.RaiseLv_Target15
16	1	1	0	Player-LEVEL_UP	60	0	0:-1	0:-1	2:588,300043:2,100044:2,1:300000	Activity.RaiseLv_Target16
17	2	1	0	Player-LOGIN_DAYS	1	0	0:-1	0:-1	2:150,1:20000	Activity.TotalLoad_Target1
18	2	1	0	Player-LOGIN_DAYS	2	0	0:-1	0:-1	420006:40,2:400,300024:1	Activity.TotalLoad_Target2
19	2	1	0	Player-LOGIN_DAYS	3	0	0:-1	0:-1	420006:40,300025:1,1:40000	Activity.TotalLoad_Target3
20	2	1	0	Player-LOGIN_DAYS	4	0	0:-1	0:-1	200046:1,1:50000	Activity.TotalLoad_Target4
21	2	1	0	Player-LOGIN_DAYS	5	0	0:-1	0:-1	410002:1,1:60000	Activity.TotalLoad_Target5
22	2	1	0	Player-LOGIN_DAYS	6	0	0:-1	0:-1	200048:1,1:70000	Activity.TotalLoad_Target6
23	2	1	0	Player-LOGIN_DAYS	7	0	0:-1	0:-1	2:30000,1:80000	Activity.TotalLoad_Target7
24	3	1	0	Player-VIP_LEVEL_UP	0	0	0:-1	0:-1	100044:1,1:10000	Activity.VIP_LEVEL_UP_Target0
25	3	1	0	Player-VIP_LEVEL_UP	1	0	0:-1	0:-1	100044:2,100072:5,100075:5	Activity.VIP_LEVEL_UP_Target1
26	3	1	0	Player-VIP_LEVEL_UP	2	0	0:-1	0:-1	100045:1,100072:10,100075:10	Activity.VIP_LEVEL_UP_Target2
